"export_file","status","clip_id","smiler_id","culture","smile_type","label_conflict","stim_from_label","stim_from_code","stimulus","n_frames","duration_s","frame_rate","n_fitfail_cells"
"Participant 305_Participant 276 chi hap 1 C025_Analysis 1_video_20260713_142102_detailed.txt","ok","E25HA03-01","C25","Chinese","Genuine",0,"HA","HA","Happy 3 CN",43,5.375,8,0
"Participant 306_Participant 277 chi hap 2 C025 _Analysis 1_video_20260713_142147_detailed.txt","ok","E25HA04-01","C25","Chinese","Genuine",0,"HA","HA","Happy 4 CN",87,10.875,8,0
"Participant 307_Participant 278  chi hap 3 C025 _Analysis 1_video_20260713_142235_detailed.txt","ok","E25HA04-04","C25","Chinese","Genuine",0,"HA","HA","Happy 4 CN",38,4.75,8,0
"Participant 308_Participant 279  chi hap 4 C025 _Analysis 1_video_20260713_142310_detailed.txt","ok","E25HA06-02","C25","Chinese","Genuine",0,"HA","HA","Happy 6 CN",45,5.625,8,0
"Participant 309_Participant 280  chi hap 5 C025 _Analysis 1_video_20260713_142339_detailed.txt","ok","E25HA07-01","C25","Chinese","Genuine",0,"HA","HA","Happy 7 CN",53,6.625,8,0
"Participant 310_Participant 281  chi hap 6 C025 _Analysis 1_video_20260713_142409_detailed.txt","ok","E25SA07-03","C25","Chinese",,1,"HA","SA","Happy 7 CN",77,9.625,8,0
"Participant 317_Participant 288   chi hap1 C026_Analysis 1_video_20260713_144503_detailed.txt","ok","E26HA01-01","C26","Chinese","Genuine",0,"HA","HA","Happy 1 CN",48,6,8,0
"Participant 318_Participant 289   chi  hap 2 C026 _Analysis 1_video_20260713_144556_detailed.txt","ok","E26HA02-02","C26","Chinese","Genuine",0,"HA","HA","Happy 2 CN",29,3.625,8,0
"Participant 319_Participant 290  chi hap 3 C026 _Analysis 1_video_20260713_144647_detailed.txt","ok","E26HA02-04","C26","Chinese","Genuine",0,"HA","HA","Happy 2 CN",40,5,8,0
"Participant 320_Participant 291 chi hap 4 C026 _Analysis 1_video_20260713_144737_detailed.txt","ok","E26HA03-04","C26","Chinese","Genuine",0,"HA","HA","Happy 3 CN",59,7.375,8,0
"Participant 321_Participant 292 chi hap 5 C026 _Analysis 1_video_20260713_144822_detailed.txt","ok","E26HA05-04","C26","Chinese","Genuine",0,"HA","HA","Happy 5 CN",33,4.125,8,0
"Participant 322_Participant 293 chi hap 6 C026 _Analysis 1_video_20260713_144859_detailed.txt","ok","E26HA06-01","C26","Chinese","Genuine",0,"HA","HA","Happy 6 CN",46,5.75,8,0
"Participant 329_Participant 300 chi hap 1 C027_Analysis 1_video_20260713_145330_detailed.txt","ok","E27HA01-01","C27","Chinese","Genuine",0,"HA","HA","Happy 1 CN",23,2.875,8,0
"Participant 330_Participant 301 chi hap 2 C027_Analysis 1_video_20260713_145406_detailed.txt","ok","E27HA02-07","C27","Chinese","Genuine",0,"HA","HA","Happy 2 CN",33,4.125,8,0
"Participant 331_Participant 302 chi hap 3 C027_Analysis 1_video_20260713_145432_detailed.txt","ok","E27HA03-02","C27","Chinese","Genuine",0,"HA","HA","Happy 3 CN",60,7.5,8,0
"Participant 332_Participant 303 chi hap 4 C027_Analysis 1_video_20260713_145500_detailed.txt","ok","E27HA04-02","C27","Chinese","Genuine",0,"HA","HA","Happy 4 CN",59,7.375,8,0
