"clip_id","smiler_id","culture","smile_type","label_conflict","stimulus","stimulus_num","take_num","clip_duration_s","n_frames","channel","channel_type","peak","mean_intensity","sd_intensity","auc","prop_active","n_episodes","dur_total_s","dur_longest_s","t_peak_s","t_peak_prop","t_peak_usable","censored_start","censored_end","n_valid_frames","n_missing_frames"
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU15","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU17","action_unit",1,0.162162162162162,0.373683876611822,0.75,0.162162162162162,1,0.75,0.75,2.75,0.594594594594595,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU18","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU20","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU23","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU24","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU25","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU26","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU27","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU43","action_unit",4,3.32432432432432,0.47457899787625,14.875,1,1,4.625,4.625,0,0,0,1,1,37,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"Neutral","emotion",0.6227482,0.233377673529412,0.151497107929572,0.94353621875,0.117647058823529,1,0.5,0.5,0.125,0.0294117647058824,0,1,0,34,0
