"clip_id","smiler_id","culture","smile_type","stimulus","frame","time_s","Neutral","Happy","Sad","Angry","Surprised","Scared","Disgusted","Contempt","AU01","AU02","AU04","AU05","AU06","AU07","AU09","AU10","AU12","AU14","AU15","AU17","AU18","AU20","AU23","AU24","AU25","AU26","AU27","AU43"
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",25,3,0.2025606,0.5954712,0.000566953,0.05198222,0.001569686,0.002164003,0.01262793,0.00137131,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,3,1,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",26,3.125,0.2160291,0.5684927,0.000427832,0.05667514,0.001931536,0.002217587,0.01166633,0.001119437,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,3,1,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",27,3.25,0.2227592,0.5550618,0.000457049,0.04985133,0.002005825,0.001918688,0.01240022,0.000984928,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,3,1,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",28,3.375,0.2122833,0.5762013,0.000608522,0.03915001,0.001633743,0.001672619,0.01495467,0.000994479,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,2,1,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",29,3.5,0.2103049,0.5800904,0.00104174,0.03346666,0.001578706,0.00140971,0.01495138,0.001050942,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,2,0,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",30,3.625,0.1968401,0.6069185,0.001221039,0.02844194,0.001708627,0.001354746,0.01404574,0.00083525,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,2,0,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",31,3.75,0.2181381,0.5646572,0.002130313,0.02574462,0.001971472,0.001346987,0.02578326,0.001171895,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,2,0,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",32,3.875,0.2698131,0.461965,0.003049528,0.02420633,0.001612552,0.001525948,0.04578743,0.002573974,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",33,4,0.2778259,0.4458489,0.004060273,0.02105995,0.002128063,0.001378375,0.05928138,0.002166355,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",34,4.125,0.2846517,0.4321995,0.004470748,0.01793056,0.002312585,0.001697352,0.05415909,0.00193805,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,3
